product_id,product_name,category,product_url,image_id,image_position,image_url,original_alt,alt_exists,crawl_date
5063069,[감자밭] 감자빵 오리지널 (120g X 5개입),bakery,https://www.kurly.com/goods/5063069,19,1,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/9280be4d-4417-4343-a46e-20e7c4118113.jpg,상품-대표-이미지 1,1,2026-09-25T20:03:54+09:00
5063069,[감자밭] 감자빵 오리지널 (120g X 5개입),bakery,https://www.kurly.com/goods/5063069,20,2,https://product-image.kurly.com/hdims/resize/%3E1010x/quality/90/src/product/image/8430582b-04c6-41a0-9b98-8b268a60d299.jpg,,0,2026-09-25T20:03:54+09:00
1000229955,[그래인스 쿠키] 샤르망 (36개),bakery,https://www.kurly.com/goods/1000229955,21,1,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/d91f3c59-4d2e-415e-a11b-8244a186f766.jpg,상품-대표-이미지 1,1,2026-09-25T20:04:04+09:00
1000229955,[그래인스 쿠키] 샤르망 (36개),bakery,https://www.kurly.com/goods/1000229955,22,2,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20230822/gv40000719325_1.jpg,,0,2026-09-25T20:04:04+09:00
5044137,[나폴레옹] 쇼콜라비스큐슈니탱 385g,bakery,https://www.kurly.com/goods/5044137,23,1,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/4cce3693-5e2e-4b01-818b-7a7254e5e69b.jpg,상품-대표-이미지 1,1,2026-09-25T20:04:13+09:00
5044137,[나폴레옹] 쇼콜라비스큐슈니탱 385g,bakery,https://www.kurly.com/goods/5044137,24,2,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20240718/gv30000071903_1.jpg,,0,2026-09-25T20:04:13+09:00
1001737663,[조선델리] 조선호텔 애플망고 케이크 720g,bakery,https://www.kurly.com/goods/1001737663,25,1,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/d3589442-3584-4cc6-aaf5-51b78716920a.jpg,상품-대표-이미지 1,1,2026-09-25T20:04:23+09:00
1001737663,[조선델리] 조선호텔 애플망고 케이크 720g,bakery,https://www.kurly.com/goods/1001737663,26,2,https://product-image.kurly.com/hdims/resize/%3E1010x/quality/90/src/product/image/b5663f6a-30b9-4405-aac4-62acfad58f69.jpg,,0,2026-09-25T20:04:23+09:00
5122986,[크리스피크림도넛] 오리지널 글레이즈드 (47g X 9개),bakery,https://www.kurly.com/goods/5122986,27,1,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/164870681737l0.jpg,상품-대표-이미지 1,1,2026-09-25T20:04:33+09:00
5122986,[크리스피크림도넛] 오리지널 글레이즈드 (47g X 9개),bakery,https://www.kurly.com/goods/5122986,28,2,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20220331/gv40000297847_1.jpg,,0,2026-09-25T20:04:33+09:00
1000894225,[밀도] 소화가잘되는 우유로 만든 쌀식빵 480g,bakery,https://www.kurly.com/goods/1000894225,29,1,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/0596f25c-34a8-40b3-afa1-a9b3dac36f3b.jpg,상품-대표-이미지 1,1,2026-09-25T20:04:42+09:00
1000894225,[밀도] 소화가잘되는 우유로 만든 쌀식빵 480g,bakery,https://www.kurly.com/goods/1000894225,30,2,https://product-image.kurly.com/hdims/resize/%3E1010x/quality/90/src/product/image/4afa9c6a-98ae-48ce-abf6-c3e9fa5f1ef5.jpg,PC_mildo_toast_241018_01.jpg,1,2026-09-25T20:04:42+09:00
1000637683,[오넛티] 100% 땅콩버터 2종 (택1),bakery,https://www.kurly.com/goods/1000637683,31,1,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/94f976c1-e1f3-496e-8e20-23d58eca14ea.jpg,상품-대표-이미지 1,1,2026-09-25T20:04:52+09:00
1000637683,[오넛티] 100% 땅콩버터 2종 (택1),bakery,https://www.kurly.com/goods/1000637683,32,2,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20240627/gv30000934835_1.jpg,,0,2026-09-25T20:04:52+09:00
1000831954,"[넉넉] 듬뿍 치아바타 3종, 택1",bakery,https://www.kurly.com/goods/1000831954,33,1,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/932b165c-a648-4cb3-9808-460165bfbed7.jpg,상품-대표-이미지 1,1,2026-09-25T20:05:01+09:00
1000831954,"[넉넉] 듬뿍 치아바타 3종, 택1",bakery,https://www.kurly.com/goods/1000831954,34,2,https://product-image.kurly.com/hdims/resize/%3E1010x/quality/90/src/product/image/d8280608-9e86-43f6-b17d-82c8873b1c07.jpg,,0,2026-09-25T20:05:01+09:00
5132010,[선물세트] 브레댄코 브라우니 쿠키 24개 세트,bakery,https://www.kurly.com/goods/5132010,35,1,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/53110677-9923-4ebc-bb7e-343fd333bca2.jpg,상품-대표-이미지 1,1,2026-09-25T20:05:11+09:00
